Country,Model,1,2,3,4,5
Austria,ARIMA,5,1,1,0,0
Austria,Holt-Winters,0,2,1,3,1
Austria,LSTM,0,1,1,1,4
Austria,Prophet,1,2,2,1,1
Austria,XGBoost,1,1,2,2,1
Czech Republic,ARIMA,3,4,0,0,0
Czech Republic,Holt-Winters,0,1,5,1,0
Czech Republic,LSTM,0,0,1,3,3
Czech Republic,Prophet,2,0,0,3,2
Czech Republic,XGBoost,2,2,1,0,2
France,ARIMA,4,2,1,0,0
France,Holt-Winters,0,4,2,0,1
France,LSTM,0,0,1,1,5
France,Prophet,2,1,1,3,0
France,XGBoost,1,0,2,3,1
Germany,ARIMA,3,3,1,0,0
Germany,Holt-Winters,0,3,2,1,1
Germany,LSTM,0,0,0,2,5
Germany,Prophet,1,1,2,3,0
Germany,XGBoost,3,0,2,1,1
Hungary,ARIMA,3,3,1,0,0
Hungary,Holt-Winters,0,2,3,1,1
Hungary,LSTM,0,0,1,1,5
Hungary,Prophet,0,2,2,2,1
Hungary,XGBoost,4,0,0,3,0
Italy,ARIMA,3,2,2,0,0
Italy,Holt-Winters,1,2,2,1,1
Italy,LSTM,0,1,2,0,4
Italy,Prophet,0,0,1,5,1
Italy,XGBoost,3,2,0,1,1
Poland,ARIMA,1,3,3,0,0
Poland,Holt-Winters,1,3,3,0,0
Poland,LSTM,0,0,0,6,1
Poland,Prophet,4,1,1,0,1
Poland,XGBoost,1,0,0,1,5
Slovakia,ARIMA,6,0,1,0,0
Slovakia,Holt-Winters,0,2,2,3,0
Slovakia,LSTM,1,1,1,1,3
Slovakia,Prophet,0,3,1,1,2
Slovakia,XGBoost,0,1,2,2,2
